nb-wc-p1-luna 1 exit=0 wall=41s result=cmd-6ahpxpsw4hp8r5zdpsz3w6jzbw.private.json :: {"artifact_class":"private","status":"ok"} 
nb-t-p1-luna 1 exit=5 wall=46s result=none :: error: execution/explicit_failure: the workflow signalled an explicit failure; its value is retained in the run's private inspection record (run_ref: cmd-3w2yzacg4dbwyc192pjk7phvsc) 
nb-amb-p1-luna 1 exit=0 wall=47s result=cmd-0n1m4677wfxtsvabhpzn0xa6ww.private.json :: {"artifact_class":"private","status":"ok"} 
nb-amb-p2-luna 1 exit=0 wall=62s result=cmd-7j97peqqbtkhdaahdw90cv9r7z.private.json :: {"artifact_class":"private","status":"ok"} 
nb-wc-p2-luna 1 exit=0 wall=68s result=cmd-114d6f9n7r1404dxv4044z3djp.private.json :: {"artifact_class":"private","status":"ok"} 
nb-t-p2-luna 1 exit=0 wall=70s result=cmd-5h1gbym0j6ggtt5ye76dfmhe8b.private.json :: {"artifact_class":"private","status":"ok"} 
nb-amb-p1-luna 2 exit=0 wall=38s result=cmd-0q6738dbdz7q1darg3ctd9m5k2.private.json :: {"artifact_class":"private","status":"ok"} 
nb-t-p1-luna 2 exit=0 wall=43s result=cmd-3qsspfkpk8c6jfd00r6wa677b6.private.json :: {"artifact_class":"private","status":"ok"} 
nb-wc-p1-luna 2 exit=0 wall=49s result=cmd-6g63b095tn4c7d91r7m3r0dacm.private.json :: {"artifact_class":"private","status":"ok"} 
nb-wc-p2-luna 2 exit=0 wall=52s result=cmd-6aegymq50nfghpk1qxqkwrsf3n.private.json :: {"artifact_class":"private","status":"ok"} 
nb-amb-p2-luna 2 exit=0 wall=65s result=cmd-73ybaxmd2ndf41hj38zga113yz.private.json :: {"artifact_class":"private","status":"ok"} 
nb-wc-p1-luna 3 exit=0 wall=36s result=cmd-1k6d73w2kf3c3mratjasgzqt08.private.json :: {"artifact_class":"private","status":"ok"} 
nb-amb-p1-luna 3 exit=0 wall=46s result=cmd-3xsv0ykhans6fd9wrxt1gmjbsg.private.json :: {"artifact_class":"private","status":"ok"} 
nb-t-p2-luna 2 exit=0 wall=61s result=cmd-5n1waymzvjjz824zc0k63exw5m.private.json :: {"artifact_class":"private","status":"ok"} 
nb-t-p1-luna 3 exit=0 wall=49s result=cmd-6wjw8v049a297e6h9v1jbdvysw.private.json :: {"artifact_class":"private","status":"ok"} 
nb-wc-p2-luna 3 exit=0 wall=69s result=cmd-43zgs5c4xyrxvkf33cx62n6w0c.private.json :: {"artifact_class":"private","status":"ok"} 
nb-amb-p2-luna 3 exit=0 wall=62s result=cmd-1rtgp2n37vymvnetzjxzses3xk.private.json :: {"artifact_class":"private","status":"ok"} 
nb-t-p2-luna 3 exit=0 wall=75s result=cmd-5m00c7fnwea1qmy8pk05c0gtxq.private.json :: {"artifact_class":"private","status":"ok"} 
